# Goxel 0.13.0
# One line per voxel
# X Y Z RRGGBB
15 -16 2 666699
15 -16 3 666699
15 -16 4 666699
15 -16 5 666699
15 -16 6 666699
15 -16 7 666699
15 -16 8 666699
15 -16 9 666699
15 -16 10 666699
15 -16 11 666699
15 -16 12 666699
15 -16 13 666699
15 -16 14 666699
15 -16 15 666699
-16 0 0 666699
-15 0 0 666699
-14 0 0 666699
-13 0 0 666699
-12 0 0 666699
-11 0 0 666699
-10 0 0 666699
-9 0 0 666699
-8 0 0 666699
-7 0 0 666699
-6 0 0 666699
-5 0 0 666699
-4 0 0 666699
-3 0 0 666699
-2 0 0 666699
-1 0 0 666699
-16 1 0 666699
-15 1 0 666699
-14 1 0 666699
-13 1 0 666699
-12 1 0 666699
-11 1 0 666699
-10 1 0 666699
-9 1 0 666699
-8 1 0 666699
-7 1 0 666699
-6 1 0 666699
-5 1 0 666699
-4 1 0 666699
-3 1 0 666699
-2 1 0 666699
-1 1 0 666699
-16 2 0 666699
-15 2 0 666699
-14 2 0 666699
-13 2 0 666699
-12 2 0 666699
-11 2 0 666699
-10 2 0 666699
-9 2 0 666699
-8 2 0 666699
-7 2 0 666699
-6 2 0 666699
-5 2 0 666699
-4 2 0 666699
-3 2 0 666699
-2 2 0 666699
-1 2 0 666699
-16 3 0 666699
-15 3 0 666699
-14 3 0 666699
-13 3 0 666699
-12 3 0 666699
-11 3 0 666699
-10 3 0 666699
-9 3 0 666699
-8 3 0 666699
-7 3 0 666699
-6 3 0 666699
-5 3 0 666699
-4 3 0 666699
-3 3 0 666699
-2 3 0 666699
-1 3 0 666699
-16 4 0 666699
-15 4 0 666699
-14 4 0 666699
-13 4 0 666699
-12 4 0 666699
-11 4 0 666699
-10 4 0 666699
-9 4 0 666699
-8 4 0 666699
-7 4 0 666699
-6 4 0 666699
-5 4 0 666699
-4 4 0 666699
-3 4 0 666699
-2 4 0 666699
-1 4 0 666699
-16 5 0 666699
-15 5 0 666699
-14 5 0 666699
-13 5 0 666699
-12 5 0 666699
-11 5 0 666699
-10 5 0 666699
-9 5 0 666699
-8 5 0 666699
-7 5 0 666699
-6 5 0 666699
-5 5 0 666699
-4 5 0 666699
-3 5 0 666699
-2 5 0 666699
-1 5 0 666699
-16 6 0 666699
-15 6 0 666699
-14 6 0 666699
-13 6 0 666699
-12 6 0 666699
-11 6 0 666699
-10 6 0 666699
-9 6 0 666699
-8 6 0 666699
-7 6 0 666699
-6 6 0 666699
-5 6 0 666699
-4 6 0 666699
-3 6 0 666699
-2 6 0 666699
-1 6 0 666699
-16 7 0 666699
-15 7 0 666699
-14 7 0 666699
-13 7 0 666699
-12 7 0 666699
-11 7 0 666699
-10 7 0 666699
-9 7 0 666699
-8 7 0 666699
-7 7 0 666699
-6 7 0 666699
-5 7 0 666699
-4 7 0 666699
-3 7 0 666699
-2 7 0 666699
-1 7 0 666699
-16 8 0 666699
-15 8 0 666699
-14 8 0 666699
-13 8 0 666699
-12 8 0 666699
-11 8 0 666699
-10 8 0 666699
-9 8 0 666699
-8 8 0 666699
-7 8 0 666699
-6 8 0 666699
-5 8 0 666699
-4 8 0 666699
-3 8 0 666699
-2 8 0 666699
-1 8 0 666699
-16 9 0 666699
-15 9 0 666699
-14 9 0 666699
-13 9 0 666699
-12 9 0 666699
-11 9 0 666699
-10 9 0 666699
-9 9 0 666699
-8 9 0 666699
-7 9 0 666699
-6 9 0 666699
-5 9 0 666699
-4 9 0 666699
-3 9 0 666699
-2 9 0 666699
-1 9 0 666699
-16 10 0 666699
-15 10 0 666699
-14 10 0 666699
-13 10 0 666699
-12 10 0 666699
-11 10 0 666699
-10 10 0 666699
-9 10 0 666699
-8 10 0 666699
-7 10 0 666699
-6 10 0 666699
-5 10 0 666699
-4 10 0 666699
-3 10 0 666699
-2 10 0 666699
-1 10 0 666699
-16 11 0 666699
-15 11 0 666699
-14 11 0 666699
-13 11 0 666699
-12 11 0 666699
-11 11 0 666699
-10 11 0 666699
-9 11 0 666699
-8 11 0 666699
-7 11 0 666699
-6 11 0 666699
-5 11 0 666699
-4 11 0 666699
-3 11 0 666699
-2 11 0 666699
-1 11 0 666699
-16 12 0 666699
-15 12 0 666699
-14 12 0 666699
-13 12 0 666699
-12 12 0 666699
-11 12 0 666699
-10 12 0 666699
-9 12 0 666699
-8 12 0 666699
-7 12 0 666699
-6 12 0 666699
-5 12 0 666699
-4 12 0 666699
-3 12 0 666699
-2 12 0 666699
-1 12 0 666699
-16 13 0 666699
-15 13 0 666699
-14 13 0 666699
-13 13 0 666699
-12 13 0 666699
-11 13 0 666699
-10 13 0 666699
-9 13 0 666699
-8 13 0 666699
-7 13 0 666699
-6 13 0 666699
-5 13 0 666699
-4 13 0 666699
-3 13 0 666699
-2 13 0 666699
-1 13 0 666699
-16 14 0 666699
-15 14 0 666699
-14 14 0 666699
-13 14 0 666699
-12 14 0 666699
-11 14 0 666699
-10 14 0 666699
-9 14 0 666699
-8 14 0 666699
-7 14 0 666699
-6 14 0 666699
-5 14 0 666699
-4 14 0 666699
-3 14 0 666699
-2 14 0 666699
-1 14 0 666699
-16 15 0 666699
-15 15 0 666699
-14 15 0 666699
-13 15 0 666699
-12 15 0 666699
-11 15 0 666699
-10 15 0 666699
-9 15 0 666699
-8 15 0 666699
-7 15 0 666699
-6 15 0 666699
-5 15 0 666699
-4 15 0 666699
-3 15 0 666699
-2 15 0 666699
-1 15 0 666699
-16 15 1 666699
-16 15 2 666699
-16 15 3 666699
-16 15 4 666699
-16 15 5 666699
-16 15 6 666699
-16 15 7 666699
-16 15 8 666699
-16 15 9 666699
-16 15 10 666699
-16 15 11 666699
-16 15 12 666699
-16 15 13 666699
-16 15 14 666699
-16 15 15 666699
0 0 0 666699
1 0 0 666699
2 0 0 666699
3 0 0 666699
4 0 0 666699
5 0 0 666699
6 0 0 666699
7 0 0 666699
8 0 0 666699
9 0 0 666699
10 0 0 666699
11 0 0 666699
12 0 0 666699
13 0 0 666699
14 0 0 666699
15 0 0 666699
0 1 0 666699
1 1 0 666699
2 1 0 666699
3 1 0 666699
4 1 0 666699
5 1 0 666699
6 1 0 666699
7 1 0 666699
8 1 0 666699
9 1 0 666699
10 1 0 666699
11 1 0 666699
12 1 0 666699
13 1 0 666699
14 1 0 666699
15 1 0 666699
0 2 0 666699
1 2 0 666699
2 2 0 666699
3 2 0 666699
4 2 0 666699
5 2 0 666699
6 2 0 666699
7 2 0 666699
8 2 0 666699
9 2 0 666699
10 2 0 666699
11 2 0 666699
12 2 0 666699
13 2 0 666699
14 2 0 666699
15 2 0 666699
0 3 0 666699
1 3 0 666699
2 3 0 666699
3 3 0 666699
4 3 0 666699
5 3 0 666699
6 3 0 666699
7 3 0 666699
8 3 0 666699
9 3 0 666699
10 3 0 666699
11 3 0 666699
12 3 0 666699
13 3 0 666699
14 3 0 666699
15 3 0 666699
0 4 0 666699
1 4 0 666699
2 4 0 666699
3 4 0 666699
4 4 0 666699
5 4 0 666699
6 4 0 666699
7 4 0 666699
8 4 0 666699
9 4 0 666699
10 4 0 666699
11 4 0 666699
12 4 0 666699
13 4 0 666699
14 4 0 666699
15 4 0 666699
0 5 0 666699
1 5 0 666699
2 5 0 666699
3 5 0 666699
4 5 0 666699
5 5 0 666699
6 5 0 666699
7 5 0 666699
8 5 0 666699
9 5 0 666699
10 5 0 666699
11 5 0 666699
12 5 0 666699
13 5 0 666699
